sign_class,xtl,ytl,xbr,ybr,temporary,occluded,data,filename
3.2,471,955,494,977,False,False,,1518531537824000_4814898000.jpg
2.4,1683,895,1771,973,False,False,,1518531537824000_4814898000.jpg
4.1.2,1776,895,1850,970,False,False,,1518531537824000_4814898000.jpg
2.4,2017,870,2114,953,False,False,,1518531538724000_4815798000.jpg
4.1.2,2124,868,2206,951,False,False,,1518531538724000_4815798000.jpg
3.2,736,946,759,968,False,False,,1518531538724000_4815798000.jpg
3.2,976,965,999,987,False,False,,1518531539657000_4816731000.jpg
3.2,1106,987,1129,1009,False,False,,1518531540657000_4817731000.jpg
3.2,702,979,730,994,False,True,,1518531543556000_4820631000.jpg
2.4,16,946,26,975,False,False,,1518531543556000_4820631000.jpg
4.1.2,23,948,32,975,False,False,,1518531543556000_4820631000.jpg
3.2,200,959,234,992,False,False,,1518531544590000_4821664000.jpg
5.15.2,2225,810,2263,847,False,False,,1518531548356000_4825430000.jpg
5.15.2,2399,795,2438,832,False,False,,1518531548356000_4825430000.jpg
3.1,2118,1024,2132,1036,False,False,,1518531548356000_4825430000.jpg
3.1,1566,1022,1578,1033,False,False,,1518531549322000_4826397000.jpg
5.15.2,1853,795,1888,832,False,False,,1518531549322000_4826397000.jpg
5.14,2026,776,2064,813,False,False,,1518531549322000_4826397000.jpg
5.15.2,2254,739,2298,780,False,False,,1518531549322000_4826397000.jpg
5.15.2,2275,894,2293,912,False,False,,1518531549322000_4826397000.jpg
5.15.2,2070,917,2086,933,False,False,,1518531549322000_4826397000.jpg
5.15.2,1991,921,2006,936,False,False,,1518531549322000_4826397000.jpg
5.14,2161,909,2176,926,False,False,,1518531549322000_4826397000.jpg
5.15.2,1689,806,1724,843,False,False,,1518531549322000_4826397000.jpg
3.1,2227,953,2237,963,False,False,,1518531549322000_4826397000.jpg
5.14,2305,1012,2312,1024,False,False,,1518531549322000_4826397000.jpg
5.15.2,1472,903,1488,920,False,False,,1518531550155000_4827230000.jpg
5.15.2,1548,900,1565,918,False,False,,1518531550155000_4827230000.jpg
5.14,1633,893,1651,912,False,False,,1518531550155000_4827230000.jpg
5.15.2,1741,881,1758,898,False,False,,1518531550155000_4827230000.jpg
3.1,1687,940,1696,949,False,False,,1518531550155000_4827230000.jpg
5.15.2,1177,772,1213,812,False,False,,1518531550155000_4827230000.jpg
5.15.2,1347,765,1384,803,False,False,,1518531550155000_4827230000.jpg
5.15.2,1751,719,1789,759,False,False,,1518531550155000_4827230000.jpg
5.14,1523,749,1561,787,False,False,,1518531550155000_4827230000.jpg
5.14,1759,997,1770,1008,False,False,,1518531550155000_4827230000.jpg
3.1,618,992,631,1003,False,False,,1518531551288000_4828363000.jpg
3.1,1292,924,1301,931,False,False,,1518531551288000_4828363000.jpg
5.14,1241,872,1258,890,False,False,,1518531551288000_4828363000.jpg
5.14,1116,690,1166,741,False,False,,1518531551288000_4828363000.jpg
5.15.2,1070,882,1087,901,False,False,,1518531551288000_4828363000.jpg
5.15.2,1152,879,1168,897,False,False,,1518531551288000_4828363000.jpg
5.15.2,1351,858,1371,878,False,False,,1518531551288000_4828363000.jpg
5.15.2,1370,656,1423,709,False,False,,1518531551288000_4828363000.jpg
5.15.2,912,709,960,757,False,False,,1518531551288000_4828363000.jpg
5.15.2,711,720,757,768,False,False,,1518531551288000_4828363000.jpg
5.14,1367,979,1376,990,False,False,,1518531551288000_4828363000.jpg
8.14,1293,935,1301,939,False,False,,1518531551288000_4828363000.jpg
3.1,561,996,573,1009,False,False,,1518531552388000_4829463000.jpg
3.1,1276,921,1284,929,False,False,,1518531552388000_4829463000.jpg
5.15.2,1341,847,1360,867,False,False,,1518531552388000_4829463000.jpg
5.15.2,1125,870,1144,891,False,False,,1518531552388000_4829463000.jpg
5.15.2,1037,875,1056,895,False,False,,1518531552388000_4829463000.jpg
5.14,1220,862,1240,883,False,False,,1518531552388000_4829463000.jpg
5.15.2,581,667,635,722,False,False,,1518531552388000_4829463000.jpg
5.15.2,824,655,875,711,False,False,,1518531552388000_4829463000.jpg
5.14,1069,631,1123,686,False,False,,1518531552388000_4829463000.jpg
5.15.2,1378,590,1430,643,False,False,,1518531552388000_4829463000.jpg
